Graded Commit:f979c9af7012ed8fa454d9438f3d7d597655407a

TEST NAME, POINTS,OUT OF
basic_suite/conversion_cmd_error_test,1,1,
basic_suite/conversion_cmd_ok_test,1,1,
basic_suite/disable_cmd_error_test,1,1,
basic_suite/disable_cmd_ok_test,1,1,
basic_suite/enable_cmd_error_test,1,1,
basic_suite/enable_cmd_ok_test,1,1,
basic_suite/help_cmd_test,1,1,
basic_suite/jobs_cmd_test,1,1,
basic_suite/print_cmd_error_test,1,1,
basic_suite/print_cmd_ok_test,1,1,
basic_suite/printer_cmd_error_test,1,1,
basic_suite/printer_cmd_ok_test,1,1,
basic_suite/printers_cmd_test,1,1,
basic_suite/quit_cmd_test,1,1,
basic_suite/type_cmd_error_test,1,1,
basic_suite/type_cmd_ok_test,1,1,
basic_suite/unknown_cmd_test,1,1,
conversion_suite/multiple_conversion,1,1,
conversion_suite/one_conversion,1,1,
jobs_suite/cancel_job_test,1,1,
jobs_suite/delete_job,1,1,
jobs_suite/multi_pause_multi_resume,1,1,
jobs_suite/pause_resume_job,1,1,
printer_suite/create_job_before_printer_test,1,1,
printer_suite/enable_printer_after_job_created_test,1,1,
printer_suite/multiple_jobs_different_printers_test,1,1,
printer_suite/multiple_jobs_single_printer_test,1,1,
printer_suite/print_first_available,1,1,
total,28,28
